"paralog_pair","GI_score_A549","GI_score_HT29","GI_score_OVCAR8","fdr_A549","fdr_HT29","fdr_OVCAR8","p_val_A549","p_val_HT29","p_val_OVCAR8"
"GGA1_GGA3",-0.409493311659181,-0.514863946124086,-0.156796153203104,0.00469311441605457,0.000178989699142161,0.246279971684849,0.00104809006810152,4.52667257511426e-05,0.152306125200475
"GIGYF1_GIGYF2",-0.485922567056234,-0.730444552418526,-0.304489854348679,0.0163465933500798,0.000137966915672942,0.138876349282891,0.00515140782992589,3.18385190014482e-05,0.0744349663650235
"GIT1_GIT2",-1.36430851352353,-0.960640610898056,-1.24401372511755,4.17624090367815e-07,4.68559671005886e-09,1.12255807321188e-08,1.03628806542882e-08,1.27894699282004e-10,2.78550390375157e-10
"GLB1_GLB1L",-0.0324001876503501,-0.106615551517673,-0.00404784482698037,0.837446503406894,0.267639991656624,0.974839346926813,0.773027541606364,0.216502822034887,0.967582478339268
"GNA12_GNA13",-0.354422415633385,-0.597395293025734,-0.35842619057039,0.0102514620498746,0.000998526396649035,0.000586655901242684,0.00282360369115652,0.000356793551159953,9.57105358343311e-05
"GNG10_GNG5",0.0593522692431963,-0.15640548998779,-0.276468298219028,0.883275387353163,0.419237261867496,0.176122337899024,0.836134732754679,0.360980967414445,0.0989258296236125
"GNPDA1_GNPDA2",0.242222183992187,-0.0823941617570963,0.115954869019518,0.0500200189377239,0.152636656215581,0.203534156030143,0.0194867071295848,0.115519057433628,0.119230091785919
"GOLPH3_GOLPH3L",-0.584606466209748,-0.0502172505040976,0.0873632420899865,4.88354720492023e-05,0.478153096306517,0.484966805904021,4.12011426717836e-06,0.423472309332981,0.364236622287992
"GON4L_YY1AP1",-0.292549557404421,-1.0216906202035,-0.665318455820917,0.0766873207590252,7.81502643447465e-07,0.000145787297732443,0.033110654620522,5.42979504132233e-08,1.80877540610972e-05
"GOT1_GOT2",-0.728401210545301,-0.669655395624424,-0.435411408805338,0.0111270676724737,0.000178405010464953,0.000144634339387393,0.0031476072324119,4.42692333659932e-05,1.75467521432116e-05
"GPR107_GPR108",0.470628265093464,-0.215267088960642,0.191986481089564,0.0145281071617708,0.0684763985806839,0.435463981369964,0.00439808703160308,0.0453677380174755,0.319844512370991
"GRK2_GRK3",-0.161212921495043,-0.474576191999923,-0.346313714439896,0.51074697411688,0.00171108658359373,0.0202568702264186,0.406823272187391,0.00063967971255431,0.00729586381346371
"GRK4_GRK6",0.370034050016998,0.00882623605123091,0.269732921429411,0.000660006105280067,0.929750591713223,0.00016871232326468,9.00752749141531e-05,0.922829371427516,2.2187973034809e-05
"GSK3A_GSK3B",NA,-2.96774494043093,-1.86445155703351,1.32951846414396e-07,1.11764900493781e-09,9.03518668215839e-09,1.27014257120032e-09,2.49599033360802e-11,1.79358544558975e-10
"GTF2H2_GTF2H2C",-0.00385458053504592,-0.480549541229885,0.595050293628499,0.987130725807098,0.0295678076617795,0.0107035107415248,0.987130725807098,0.0173885121981184,0.00313403044044647
"HDAC1_HDAC2",-1.03835143339161,-2.21940116756163,-2.41820577849499,0.00140151980378255,1.76093076877251e-06,7.73679489542558e-10,0.000219096147985857,1.39825768240001e-07,1.15188013331398e-11
"HDAC4_HDAC5",-0.33319104797716,-0.0906569237123628,-0.117872537395887,0.011038754323269,0.325609033064901,0.239395065953927,0.0030952338425047,0.267435707058269,0.144349878478422
"HERC3_HERC4",-0.375016108689454,-0.61198003727256,-0.215374323140589,0.0507929335230435,1.52122506005397e-06,0.099848573931808,0.0199448955086487,1.17017312311844e-07,0.0502959317820273
"HEXA_HEXB",0.119445061034852,-0.225230509168222,-0.0677730424204376,0.336358222849336,0.0255532018444069,0.542333544063963,0.241209742936621,0.0147739355576844,0.421222462663963
"HINT1_HINT2",-0.135376398177358,-0.345600332114051,-0.245566589392668,0.119522516717973,0.0108215089518507,0.0139502731416949,0.0610958770320159,0.00550473780429128,0.00455768917920156
"HIPK1_HIPK3",0.262671130223763,-0.0871078033002135,0.360415348487778,0.0876998781651601,0.205595814790334,0.012470954319457,0.0389535438996617,0.161721769946739,0.00383721671367907
"HIST1H4H_HIST4H4",-0.487175670928593,-0.75108116620423,-0.27429447514948,0.000599508552383513,4.36297649969823e-06,0.0397959279101289,7.88435565169385e-05,4.11397287812736e-07,0.0170836117331322
