"paralog_pair","GI_score_RPE1","GI_score_HAP1","fdr_RPE1","fdr_HAP1","p_val_RPE1","p_val_HAP1"
"CD151_TSPAN11",-0.416137335425376,-0.257996410368879,0.114588120955588,0.22164905326523,0.0450646265161598,0.105467082622379
"CDC34_UBE2R2",0.151678222530561,-0.040713332116794,0.443135759752632,0.832270604331716,0.30286704437773,0.734929013181808
"CDK2_CDK3",0.0947598636824578,0.245028218245201,0.761590141671664,0.193740028133131,0.661198775758276,0.0866731704806112
"CDK2AP1_CDK2AP2",-0.619393968134755,-0.315139536766331,0.174489282240038,0.341747662931709,0.0816762109829458,0.196854647946043
"CDK12_CDK13",-0.129641669125322,-0.071061328276534,0.601058821753832,0.742794496253279,0.455187821152756,0.615724110371906
"CDK14_CDK15",-0.260188033347694,0.00168515889243363,0.386415913461005,0.988245478514846,0.243487220324113,0.981173059436122
"CDKL2_CDKL3",-0.0382546791142173,-0.0514269033646562,0.914328109221538,0.82164993128924,0.860858629150103,0.720745553762491
"CEP85_CEP85L",-0.242912078539342,0.136227596171262,0.162825927933657,0.263645819138687,0.074747575104047,0.137604616129403
"CERS5_CERS6",0.0251743493859607,-0.291170360108004,0.936553597735482,0.0613289236261876,0.902322837584332,0.0175737851326503
"CHCHD3_CHCHD6",-0.178699802357233,-0.17629627388878,0.597733323618237,0.285992006459315,0.450921630097969,0.156375746221906
"CHD1_CHD2",-0.450060464926684,-0.427291076202104,0.0123352673814694,0.000203258326480675,0.00207391191355114,6.52987750890537e-06
"CHD3_CHD5",-0.320139127755996,-0.625536660246159,0.0812971034045821,3.6772889164707e-05,0.0275744561255308,3.76330737065715e-07
"CHIC1_CHIC2",0.0346867247841808,-0.251586387589493,0.91299482014253,0.00406250396672832,0.855598946946436,0.000374177996935503
"CHMP4A_CHMP4C",0.743038605323183,0.284948428362474,0.0436630539512006,0.00233292102124158,0.0121055893501694,0.000187588678608607
"CHPF_CHPF2",0.690654795186236,0.238830817972529,0.00186707836381997,0.0364580649859421,0.000131023043075085,0.00811791194035767
"CHSY1_CHSY3",0.0990889261937654,-0.0714969457436482,0.669471228020732,0.679971685737098,0.526889934716261,0.535825641246047
"CLCN3_CLCN4",-0.125974613947666,-0.316381331976083,0.431062847106403,0.0050334331783781,0.288635649085866,0.000470964507918419
"CLIP1_CLIP2",-0.471908008561335,-0.29231420120946,0.00635255734973345,0.0450493016551878,0.000901047728551672,0.0106695714446497
"CLOCK_NPAS2",0.0164900824541244,-0.0438194439641293,0.934610149094694,0.747278031896076,0.898952517908689,0.620546669761654
"CLTC_CLTCL1",0.0914804568288848,-0.101567166432602,0.755514527174069,0.469427146905467,0.650581953955448,0.320500698252709
"CNKSR1_CNKSR3",0.13065136130839,-0.106007802009762,0.717197829429605,0.138547851881454,0.599761927534699,0.0531839768645419
"CNOT7_CNOT8",-0.899977436293979,-0.504672243868294,0.0834538524655433,0.147759058099228,0.0287940192717372,0.059406054060362
"COMP_THBS3",-0.0263929732221025,-0.288539998415723,0.88784274814058,0.00208874032561981,0.826836009598756,0.000155242260769705
"COPG1_COPG2",0.0154668662785806,-0.38862899727214,0.968711246738937,0.0426985910219969,0.956098204922941,0.00992554966739401
"COPZ1_COPZ2",-0.337729932257978,0.191069769641926,0.204159040393495,0.248731127178614,0.102079520196747,0.128001983577298
"COQ10A_COQ10B",-0.654037074098784,-1.15840891625492,0.000966967998340205,4.20873009241061e-05,4.04536726841015e-05,6.76842558721004e-07
"CORO2A_CORO2B",0.742429920071588,0.338188892600249,0.00182074905358968,0.209235223425243,0.000106586730218747,0.0957465276785103
"CRABP1_CRABP2",-0.0507537447342306,0.353140261743334,0.887333265559542,0.0175430713225103,0.825064264467644,0.0030281075900614
"CRELD1_CRELD2",1.06248947790526,0.356139887633976,0.00537290013020879,0.170446832116086,0.000651974723402528,0.0715178959317497
"CSAD_GADL1",-0.330891158534531,-0.103085452416551,0.0275677620161287,0.202297761538604,0.00660981428456888,0.0916846580072622
"CSNK1D_CSNK1E",-0.146809752554107,-0.473196607369352,0.727114297479041,0.0968661290314903,0.609117679028495,0.0338464983019389
"CSNK2A1_CSNK2A2",-0.282175316763904,-0.396031557560255,0.269796377258188,0.00678821236597873,0.150281315402587,0.000744586454800896
"CTBP1_CTBP2",0.0055377834547423,-0.57569664805447,0.988569238698019,0.0654522798917687,0.98423340870373,0.0190424030679269
"RAVER1_RAVER2",-0.638809666658593,0.144217616835384,0.00294875006754276,0.165583468240949,0.000281551482439712,0.068508949579223
"CTPS1_CTPS2",0.36909760569138,-0.222762737547469,0.046044474623646,0.265411601273989,0.0133286637068449,0.138914259146328
"CUL4A_CUL4B",-0.493347079212709,-1.25427794712963,0.113500665604365,3.25963322923446e-06,0.0442847431242524,1.42966369703266e-08
"CUX1_CUX2",-0.451927051047591,-0.0917422016626298,0.00858299994573074,0.46473868792683,0.00128960310312528,0.315940774687099
"CYB5A_CYB5B",0.1163428238155,0.0260164720311999,0.625253866155536,0.890207965123683,0.477167424171331,0.822531336196152
"DAAM1_DAAM2",0.141604046143967,-0.142936247707554,0.514150273368095,0.145854727347506,0.368806018576608,0.0584271861011939
"DAB1_DAB2",0.114438786100969,0.0413341297234577,0.339237646434736,0.783143689162645,0.206815933572054,0.667340899672523
