,HAP1.T12,HAP1.T18
HOXA7_HOXB7,-0.6811011455407291,-0.5776297263074549
HPCAL4_VSNL1,-0.9160267911515484,-0.42516880616410774
HSF1_HSF4,1.67065210557855,1.9291082503374437
HSP90AA1_HSP90AB1,-0.9390936380993712,-0.49101666097120344
HSPA12A_HSPA12B,1.588361064600193,0.7549763373231304
ICA1_ICA1L,-0.4474701148197917,0.12572569383006096
ID1_ID2,0.5511755675383838,-0.13841557346760325
IFRD1_IFRD2,-1.3691308605556471,-1.7291609593239115
IGF2BP1_IGF2BP3,-0.14662418176820222,0.09699688468114588
IL16_PDZD2,0.08902748896907597,0.34150224678227553
IMPDH1_IMPDH2,-0.9507678804641232,-0.7705854354313652
INPP4A_INPP4B,0.3050888655962504,-0.2603217792915285
ISL1_ISL2,-0.05676629232005752,0.06374424302765437
ITCH_WWP2,1.9414113474087362,1.213316887889728
ITGA4_ITGA9,-0.3383986520143482,-0.6991969501677564
JAG1_JAG2,-0.20690332563412508,-0.4581342841723894
KCND2_KCND3,-0.4062335115941573,-0.2843523107544022
KCTD2_KCTD5,-1.7382537414863841,-1.6209778283097678
KDM2A_KDM2B,-1.0389635930743275,0.3215421474715909
KHDRBS1_KHDRBS3,2.8420163196202646,3.0876107749058836
KIAA1217_SRCIN1,0.43122419732775913,0.17323703904073903
KIF1B_KIF1C,-1.7648164626358338,-1.3192319633483958
KIF5B_KIF5C,-0.7521154445266879,0.33719525811399537
KIF16B_STARD9,1.915075795980791,1.9393161119610587
KIFC2_KIFC3,0.43269544106183533,1.1171785734012778
KLF10_KLF11,1.3376124196810881,0.4677923380397174
KLF13_KLF9,-1.5439123520733695,-1.6650369887450867
KLHL2_KLHL3,-0.8192259489615545,0.26317337457002465
KLHL11_KLHL23,-0.040727059472499834,-0.14857132415728974
KLHL26_KLHL9,-1.2445953476443554,-1.2007027685117522
KSR1_KSR2,-0.9810726698479465,-0.40544556663315034
LARP1_LARP1B,1.866677816745488,2.0267080571770584
LBX1_LBX2,0.5798339168255,0.7249627146709503
LCOR_LCORL,0.3733946375549007,-0.43819273439490103
LDB1_LDB2,1.2203829784961708,0.31252536796355673
LDHA_LDHB,-4.949463059827206,-3.3415712989453517
LDHA_LDHC,0.18480269842795458,0.27720177745675034
LDHB_LDHC,0.07733932529768756,-0.5483735947099262
LETM1_LETM2,0.9529743928512282,0.6503772600450869
LHX2_LHX9,0.1805839807075013,0.6131279935646551
LHX6_LHX8,2.0452993663264065,2.2006829605494063
LIMCH1_LMO7,-0.9988244409194671,-0.08004908392316291
LIMK1_LIMK2,0.6797145509327113,0.7586709217430602
LIN28A_LIN28B,1.1563698137959153,0.28698329525669575
LLGL1_LLGL2,0.9242507042109294,1.0477235612776965
LMBR1_LMBR1L,1.2345438241787376,1.282041737271072
LMCD1_TES,0.7499442330050516,0.827132197128024
LPP_TRIP6,-0.48979816242426966,-1.5653282810441311
PLPPR3_PLPPR4,-1.1817840460920288,-1.0566237919613188
LRBA_NBEA,2.382451674710394,1.7029304542054402
