,A549,HT29,OVCAR8
DNAJA1_DNAJA2,-3.3759487817910276,-3.1895808222004414,-3.401884049880841
DNAJB12_DNAJB14,1.2909966249903502,0.6813088755851355,0.028492599753809574
DNMT3A_DNMT3B,1.2009320297290667,0.7310788029492387,-0.5734601179604597
DPF1_DPF2,-0.7068971691693555,0.4196349254820473,0.13683776823190377
DPP8_DPP9,-1.1486269488019132,-0.5967713149864666,-0.30671516147324757
DUSP16_DUSP8,0.892714961984713,-0.45959664198303646,0.6860050481936292
DYNC1LI1_DYNC1LI2,-0.45097583262811625,-2.4617853512751493,-1.9428356742247093
DYRK2_DYRK3,0.7114904376080283,0.1234881601265654,1.26794528592594
EHD1_EHD4,-0.4278397856334038,0.3024642940427608,-0.5407200121408822
ENTPD4_ENTPD7,0.9951315043233474,0.5041738938028218,0.27922032547645503
EPN1_EPN2,0.4293750957034263,-0.043681294982691646,0.30025136643195904
EPS15_EPS15L1,0.4459793126140143,-0.002115373393435523,-0.394650606959729
ERLIN1_ERLIN2,-0.676412971027372,-0.23645370545776365,-0.21171715025060583
EVI5_EVI5L,-1.6144102659895638,-0.06432687027503847,-0.37974181105769295
EZH1_EZH2,0.7748374336837369,-0.6166066465330445,-0.35675747129454566
EZR_NF2,1.8458042104069292,1.263466567470454,0.9409650156080703
FAHD2A_FAHD2B,-1.0722765722963203,-0.3064760230015783,0.6851889460759343
FAM117B_GLCCI1,-0.17086163545633434,-1.3821231675808026,0.2524969761507949
FAM160B1_FAM160B2,-0.2941412934135106,1.8039243807283707,0.5747240626263437
FAM200A_FAM200B,0.5079423075516748,0.9628703853735412,0.4007656072361709
FAM76A_FAM76B,1.0742395545339398,0.8470178636680602,0.05483211021550273
FGFR1OP2_SIKE1,0.6304016047094179,0.12819667674297341,-0.15661263813902687
FLOT1_FLOT2,-0.295639058514921,0.49105642124945187,0.6484347163761498
FN3K_FN3KRP,1.5042262421280241,1.5051279327174583,1.047583023365859
FNBP1L_TRIP10,0.1553578412246986,0.4953562832861182,0.5441032264932913
FNDC3A_FNDC3B,-0.3820115101820496,0.503479184763691,0.053634801011030644
FNIP1_FNIP2,0.8481270123035588,0.24008459910915592,0.007546574475624665
FXR1_FXR2,-0.12193938534433484,1.237366328651389,0.5807812824682033
G3BP1_G3BP2,-1.2492384454702545,-1.5265445164146179,-0.7571775792498165
GABARAP_GABARAPL2,0.15196252803283372,-0.05582381401899261,0.3949909793546494
GANAB_GANC,-0.21146799591326065,0.35616018757145584,1.0074339383526305
GFOD1_GFOD2,-0.4619400906258089,-0.38052107435902116,1.0973019290765884
GGA1_GGA2,-0.9443559894671412,-0.2170662589075531,-0.20449991724685102
GGA1_GGA3,-0.7304586491128047,-0.1338598306935018,0.3201341386720987
GIGYF1_GIGYF2,-0.647862667265644,-0.8233430338011641,0.43721829226559245
GIT1_GIT2,-2.841619195041593,-1.6748679084490512,-2.818678504278213
GLB1_GLB1L,0.7276458054692938,0.7113079096961455,0.42789937532148237
GNA12_GNA13,-0.036085548130949704,-0.21173566475659497,-0.5229910309945492
GNG10_GNG5,1.0899236347339452,0.642097800371345,0.11387683243456191
GNPDA1_GNPDA2,1.1374340910215117,0.453248591794992,0.6609366142894324
GOLPH3_GOLPH3L,-0.7615041222270775,0.6690463458215458,0.894374292141376
GON4L_YY1AP1,-0.20738765141569537,-1.7237837119589188,-1.1516764915555098
GOT1_GOT2,-0.6219396555735285,-1.4060865438475993,-0.8596641073371705
GPR107_GPR108,1.9926481775238203,0.5743369322331543,1.7918754360945954
GRK2_GRK3,-0.42615768962770173,-0.23607601269312534,0.792762373181447
GRK4_GRK6,1.9659184971149883,0.9692985560871987,1.3027490778146895
GSK3A_GSK3B,-4.1512678214147565,-7.346398318457092,-4.898861936671961
GTF2H2_GTF2H2C,0.3581348995998579,-0.3375092168125294,2.5964149259082094
HDAC1_HDAC2,-1.9673040537400623,-5.260696822227578,-6.311583742876606
HDAC4_HDAC5,-0.6234907159897151,0.7851785055560322,0.15162501374935933
HERC3_HERC4,-0.6809263175047373,-0.7669764758479852,-0.05658440563662954
HEXA_HEXB,0.645469641888583,0.42258320582617237,0.4469009130206053
HINT1_HINT2,0.17244258365912274,0.15143086876407016,-0.28048895248398326
HIPK1_HIPK3,0.9923776926901813,0.6484622439317146,1.4614674818509068
HIST1H4H_HIST4H4,-0.0608080385645726,0.183082285389222,0.796733371246647
HIST2H2BE_HIST2H2BF,0.18214333462096352,-0.5346235254548488,0.8562972238677351
HMG20A_HMG20B,0.8798344295956642,0.5286307873957219,0.34259393873315425
HNRNPF_HNRNPH3,-0.39699790435019944,0.1871664234127151,0.4455703104986504
HSP90AA1_HSP90AB1,-5.279545170903329,-6.1433673597663265,-3.422581511697404
IFRD1_IFRD2,1.9457710269131023,1.402349297900908,-0.19655406285480778
ING4_ING5,-1.8062403172562889,-1.0628296616886277,-0.6283131212183849
IP6K1_IP6K2,0.2716006035042611,0.17476313470834118,0.08030555107460899
IQGAP1_IQGAP3,-0.870419109487571,0.5791125469092792,-0.2515703962517206
IRF2BP1_IRF2BPL,-0.3884042855966674,0.3830230972491615,-0.8455551057709709
ITSN1_ITSN2,-0.47619406648110574,-0.46738973517802174,1.033385754721152
JAK1_TYK2,-0.8484400649197864,-0.2982614561636875,0.2318331316778545
JOSD1_JOSD2,0.5834625758302104,0.6429298391109326,0.5819890438447088
JRKL_TIGD2,0.40997815686961003,0.9766863585928685,1.5719687033185084
KAT6A_KAT6B,0.22494694271612106,0.930188764783606,-0.34921582317688393
