,A375_D14,RPE_D14,MEWO_D14,A375_D28,RPE_D28,MEWO_D28
ASPM_OSBPL10,-0.5754234236980914,0.008177965008078108,-0.6317261495599976,-0.4332459245742467,-1.7734801538366953,-0.09220020388943316
ASPM_OXCT1,0.03692586279914114,0.04200976255093888,-0.5765341134603923,-0.17249269691063446,-1.399408662089459,-0.5620118954301133
EXO1_P4HTM,-1.556447460881656,-0.3920584182724552,-0.9683401336547697,-2.492040834019913,-0.5787322460144649,-0.9417480599678975
PACS1_PACS2,2.587721104084326,0.21635075513708624,1.2064753235476338,1.437821314930733,2.0430451339936804,0.7048191060334293
PAK3_TP53,1.8359423436539415,4.873052623507448,-0.25511988250128603,1.2021005956260757,4.397645981455142,-0.6173983998069109
ASPM_PAM,-0.06674560444853393,0.7737365948322297,-0.8108206755017003,-0.0347028130184606,-0.7158578416671022,-0.8795271364116816
PAPSS1_PAPSS2,0.6076165189728724,0.0559878402136895,0.9791942161351677,0.49622998053520145,-0.5363952908696983,0.8715069208496071
PAQR3_PAQR4,0.8636573903543896,0.8709000450375326,0.4090735533039317,0.30627981508035396,1.1343829614328202,0.34151819093153823
PARD3_PARD3B,-0.05275925037756741,0.15409488395369064,-0.5226278932271731,-0.28233491666091814,0.49574535860990643,0.22226524573616155
PARP1_PARP2,0.3709949846245993,1.1181325135084164,0.5319980528235914,0.6495353973586984,0.47826928948670294,0.2923860192350991
PARP1_RAD21,-3.2518720124824507,-4.032903232025491,-1.964591165444465,-3.9714717558329466,-3.9158735881835995,-1.9092630488346294
PARP1_RAD51,-1.4469413798186106,-1.970192198371747,1.1448552353751995,-3.144180775106323,-1.561654427599382,0.713314897033981
PARP1_SMC1A,-4.588926687585743,-2.5056366111600274,-3.6264279704776823,-2.0998525397606107,-0.9240896019821568,-4.328390574083279
PARP1_SMC3,-2.94109762774943,-0.4317625203686208,-0.5729004353929756,-1.5148999292975105,-0.7973463290913728,-0.03406596126208756
PARP1_STAG1,0.8318649973206043,2.584957621946499,0.5992648989189407,0.38253929018411725,1.5944129342953257,0.02870479635192399
PARP1_STAG3,0.10417625908944979,-0.6586419227868062,0.9278148170832192,0.01952475388806589,0.08980533361213605,0.8261602627720955
PARP2_RAD21,-3.5342241816035798,-3.5096093658041134,-2.1590848652108634,-4.7202248693535065,-4.122262643016643,-1.8620374309649967
PARP2_SMC1A,-6.078659016634239,-2.8014178224792774,-4.8582235623996715,-2.6637915588954124,-0.7091317481143024,-3.704341341328777
PARP2_SMC3,-4.094002535892671,-0.8166438215286455,-2.422968563160488,-2.4546891351841396,-0.7490941430776389,-3.3301751448830745
PARP2_STAG1,0.4427235258678391,0.6148824424933862,0.32176400597952626,-0.022529377241769618,0.2157165445005541,-0.41399430947244525
PARP2_STAG3,-0.08125775605621523,-1.4131390600519993,0.625736019808566,-0.32389624458791133,-1.532509976861794,-0.15326314211687436
ASPM_PARP3,-0.14273569653480883,0.05701704351030861,-0.7296413691805814,-0.35516419576559355,-1.4753298482857777,-0.5798151078096014
PATL1_PATL2,1.0812984415098403,0.9448173807552714,1.0751267676315537,0.8667224244639494,1.745472643671017,0.755602783776117
PCBD1_PCBD2,0.006792477936057866,-1.0815771085197114,1.2342305398798465,-0.21156266676597074,-1.2718333330311462,0.7507815239058788
CYP11B1_PCMT1,0.18361247325273078,0.7983199029327702,0.31832011946663846,0.21379280013943366,0.6421338831294482,-0.04153273784038524
CCNA2_PCNXL2,-3.0059202934555063,-2.9474012081243552,-1.9915257295605517,-1.2266852353807378,-1.0275557835404667,-1.7145219244222931
MND1_PCNXL2,0.7049690322668498,1.0343161382927752,-0.6488988613707304,0.33612005268742046,-0.37322888902581863,-0.5016481747151924
PDCD2_PDCD2L,0.05857152411890254,-0.950252107131981,-0.444370729386942,0.4927259858093699,-0.3994310457227129,-0.2007622806593549
PDE3A_PDE3B,0.04329985599063363,-0.46109911149342075,1.0156904085472858,0.17655257983604275,-0.6304382854178987,0.19828825793483684
PDS5A_PDS5B,0.4176478730282758,1.7672417455735432,1.7634401584054669,0.1369181662991629,0.7090668192312019,0.7993049998174095
PDZD3_PDZK1,0.5555690947316991,0.42704196794130717,0.4393411558352737,0.11685147860906576,1.3360919214488565,0.4852480676446723
PEX5_PEX5L,-0.5782419418515234,-2.068440489761898,-0.6391238775524681,-0.7107440748271361,-1.8210326983011667,0.3749625717038284
KIF15_PFDN5,0.6831196170721399,0.6053316017108505,-0.15996257569623623,-0.015738828242991377,0.3293294191486207,0.23993012897144567
PFDN5_PRKDC,-0.4280512411892096,-0.68058449486833,-0.46758637827754557,0.9401982816193529,1.358517634190899,-1.0727942966348203
CDC25C_PFN2,-0.3808124387904919,-0.7656737871595147,-0.5758368926567132,-0.20312065405819732,-0.035864408117361066,0.24013248372741158
NCAPH_PGBD1,-0.5905863017343191,-1.6848242786332601,-0.39117280222731343,-0.9069296476402783,-2.2657751177391092,-0.19352852604766696
PGK1_PGK2,-2.897881528011628,-1.523857079129694,-1.346658609985475,-1.6379226103267248,-2.0829734680583627,-5.135833307793623
PGM1_PGM5,1.0575180063563967,0.46746784967110583,1.4604835398593863,0.8389545261363373,0.8340823384441715,0.9006859808521948
ASPM_PHF11,-0.3427456958470342,0.4150266786842246,-1.0656860433865813,-0.03139182359367189,-0.35342276021601043,-0.2667387033801422
PHF20_PHF20L1,0.4060224667171582,0.19784849027209186,0.9792378512903972,0.3656778287261455,0.3130199255380101,0.23442829885261124
E2F8_PHLDA3,0.47116959160780836,0.38883363596033715,0.25160301025429155,0.4875772350542646,0.27951554319707644,-0.1411836692057913
PHLDB1_PHLDB2,0.2275331639762241,-0.4343692642721657,-0.2133889139703344,0.24579211586204797,-0.2747885446460855,0.18428890552316002
PHLPP1_PHLPP2,-0.20068555559343473,0.09577347327668599,0.15498132086384775,-0.3633445779941839,-0.3717896588643053,0.07094966388574617
MLF1_PIF1,0.7822831610713119,0.6083858700617026,-0.7936064453662176,0.9130864982051621,0.5711129586062181,0.3836638363226119
NCEH1_PIF1,0.12177510867288101,-0.6674991358455324,-0.5362245784916237,0.13824809584896602,-0.16355446225804535,-0.04714830084787659
PFN2_PIF1,0.2215331346523837,-0.1914374710352078,-0.5161988640118489,0.30761012823626144,-0.23209237568314925,0.5488804969213724
LGMN_PIGK,1.2421721105447918,1.5062130179330557,1.1564270684346425,0.4569556626912295,1.3366655143641002,0.40665726373752437
IQGAP3_PKN3,-1.1268074925849303,-0.5854306586722317,0.1378187548325782,-0.45725151636461786,-0.5859748287255757,-0.009757582117091114
PLA2G12A_PLA2G12B,1.4628853926197685,0.3709212283454232,1.2668431163364018,1.3317372340390798,0.7321517947155499,1.1709784663597886
PLD1_PLD2,1.7285280555394096,1.8430497617646724,0.9495594852008739,1.6770228034941654,2.662383679840646,1.4707544581594507
PLEKHA5_PLEKHA7,0.4744139928340682,1.0120837092057005,0.4053055619581315,0.36253578151891674,-0.0014802512347872087,0.10770149227395866
