gene_pair,SL_score,standard_error,Gene 1,Gene 2
ANKRD55|INVS,-0.015915165398648737,0.0034519179535956734,ANKRD55,INVS
ANKS4B|USH1G,-0.02908696825686949,0.002152762176150029,ANKS4B,USH1G
ANKS6|KIDINS220,-0.025559207111730785,0.005516908063137741,ANKS6,KIDINS220
AOX1|XDH,-0.012486878432309358,0.002098753000544527,AOX1,XDH
AP000304.12|ATP5O,-0.03787836474455437,0.009214435203687752,AP000304.12,ATP5O
AP2A1|AP2A2,-0.05344287520667071,0.01008071912187143,AP2A1,AP2A2
APBB1IP|RAPH1,-0.003910824891343061,0.0025538540734857287,APBB1IP,RAPH1
APC|APC2,-0.0012335610226323127,0.0016137499392753578,APC,APC2
APH1A|APH1B,-0.020541346289551142,0.002256638051203227,APH1A,APH1B
ARFGEF1|ARFGEF2,-0.0181140627379072,0.003240873504669211,ARFGEF1,ARFGEF2
ARFIP1|ARFIP2,-0.01385342873430507,0.0026032104228314395,ARFIP1,ARFIP2
ARHGAP10|CYP11B1,-0.005190522977294217,0.0020949100709536993,ARHGAP10,CYP11B1
ARHGAP20|TAGAP,0.0051061115566698664,0.0019020791791013922,ARHGAP20,TAGAP
ARHGAP35|ARHGAP5,-0.007614956021966659,0.002549387536545747,ARHGAP35,ARHGAP5
ARHGEF10|ASPM,-0.01147997570638119,0.0023918310235171046,ARHGEF10,ASPM
ARHGEF10|EXO1,-0.010029696753093575,0.0022296975342628745,ARHGEF10,EXO1
ARHGEF11|ARHGEF12,-0.00785815384773263,0.002672207331907219,ARHGEF11,ARHGEF12
ARHGEF2|TP53,0.016119813394908585,0.004313095763030301,ARHGEF2,TP53
ARHGEF3|NET1,-0.005435475923147398,0.0016465423300686094,ARHGEF3,NET1
ARHGEF6|ARHGEF7,-0.004894851132881234,0.00345105394736899,ARHGEF6,ARHGEF7
ARID1A|ARID1B,-0.034052670853799635,0.0029300453705924656,ARID1A,ARID1B
ARID4A|ARID4B,-0.022970192920219595,0.005247192320314557,ARID4A,ARID4B
ARL6IP5|ASPM,-0.03260571171724387,0.004854398169251474,ARL6IP5,ASPM
ARL6IP5|PRAF2,-0.015921267479586335,0.0022603337062858577,ARL6IP5,PRAF2
ARNTL2|DCTPP1,-0.010558517462738124,0.002826607556179714,ARNTL2,DCTPP1
ARNTL2|TYMS,-0.011518658752178295,0.003408369381233767,ARNTL2,TYMS
ARPC1A|ARPC1B,-0.034417814433578275,0.004337951497055967,ARPC1A,ARPC1B
ARPC1B|ASPM,-0.030295847943860713,0.004321767877384325,ARPC1B,ASPM
ARPC1B|BRIP1,-0.029072240882536186,0.004228251524811931,ARPC1B,BRIP1
ARPC1B|CDC25C,-0.029061254322051363,0.0039030347212379657,ARPC1B,CDC25C
ARPC1B|CDT1,-0.011075556808533813,0.0037095238769133316,ARPC1B,CDT1
ARPC1B|CENPE,-0.012302489364584494,0.006255854733540195,ARPC1B,CENPE
ARPC1B|CENPQ,-0.026187716931190784,0.004440696169064741,ARPC1B,CENPQ
ARPC1B|EXO1,-0.028161173741369828,0.003670725447603796,ARPC1B,EXO1
ARPC1B|KIF15,-0.027666560187258424,0.0037253913874724133,ARPC1B,KIF15
ARPC1B|L2HGDH,-0.028699167162119985,0.0038381896994583594,ARPC1B,L2HGDH
ARPC1B|MND1,-0.03168756179020589,0.004947693729173276,ARPC1B,MND1
ARPC1B|VRK1,-0.02553742356439598,0.004503900576456046,ARPC1B,VRK1
ARPC5|ARPC5L,-0.03854923654364672,0.004461223791540674,ARPC5,ARPC5L
ARRDC2|IQGAP3,-0.03982441709753697,0.002409538470046923,ARRDC2,IQGAP3
ASAH2|ASAH2B,0.0010246568751981835,0.003618315494398608,ASAH2,ASAH2B
ASCC3|SNRNP200,-0.0758130844420642,0.012430139944829572,ASCC3,SNRNP200
ASF1A|ASF1B,-0.07541746936943584,0.008029412828498058,ASF1A,ASF1B
ASPM|CASKIN1,-0.03178785678833776,0.005959010999107879,ASPM,CASKIN1
ASPM|CCND1,-0.020008809651103285,0.005229820031305882,ASPM,CCND1
ASPM|CPPED1,-0.027606016628808322,0.006675255283017047,ASPM,CPPED1
ASPM|CYB5A,-0.04819370291863006,0.0075784056355377135,ASPM,CYB5A
ASPM|DBNDD2,-0.02116470103922983,0.005730224383076506,ASPM,DBNDD2
ASPM|DCP1B,-0.030135113189619103,0.005739692169663951,ASPM,DCP1B
